序号,提交答卷时间,所用时间,来源,来自IP,1、您的年龄：,2、性别：,3、月收入:,4、职业：,5、学历：,6、居住地：,7、您的籍贯是否为湖南地区：,8、您是否线下观看过浏阳烟花,9、您认为传承浏阳烟花重要性：,10、您对浏阳烟花是否感兴趣：,11、您对于浏阳烟花是否了解：,12、您更喜欢哪一类浏阳烟花产品,13、您更喜欢哪种浏阳烟花演出形式,14、您对浏阳烟花的满意程度—造型,14、色彩,14、节奏,14、配乐,14、创意,14、主题,14、观赏环境,14、燃放效果,14、欣赏难度,14、宣传工作,14、价格,14、安全隐患,14、环保指标,15、您主要是通过哪些途径接触和了解到浏阳烟花的？(线下节庆现场观赏),15、(电视烟花晚会/直播),15、(短视频),15、(亲友同事分享),15、(线下/电商购买烟花),15、(新闻媒体报道),15、(文旅宣传/景区推荐),15、(其他（请注明）),15、(从未了解过),16、您认为浏阳烟花与哪些形式结合更利于它的传承与发展(文旅融合（烟花观赏＋景区游览）),16、(节庆赛事（烟花晚会＋特色节庆）),16、(数字传播（短视频＋直播实景）),16、(非遗科普（研学体验+文化讲解）),16、(文创开发（烟花周边＋文创产品）),16、(科技赋能（智能烟花+特效研发）),16、(跨界合作（影视综艺+品牌联名）),16、(其他（自填）),17、请选择符合您实际情况的选项—欣赏浏阳烟花非遗展演是文化素养的体现,17、观看浏阳烟花创意秀会给您带来愉悦体验,17、了解浏阳烟花会让您收获传统文化认知,17、参与浏阳烟花活动能助力其非遗传承与产业发展,18、请选择符合您实际情况的选项—家中长辈参与浏阳烟花非遗活动，会带动您参与,18、亲朋好友推荐浏阳烟花活动，会促使您一同参与,18、媒体对浏阳烟花的宣传，会吸引您关注相关活动,18、明星/博主推广浏阳烟花，会提升您的参与兴趣,19、请选择符合您实际情的选项—您有时间参与浏阳烟花非遗相关活动,19、您能承担浏阳烟花展演门票、文创产品的费用,19、您具备欣赏浏阳烟花非遗艺术特色的审美能力,20、请根据您的实际情况，选择最符合您态度的选项：—您愿意了解浏阳烟花的相关知识,20、您愿意参与免费的浏阳烟花相关活动,20、您愿意参与付费的浏阳烟花相关活动,20、您愿意对浏阳烟花进行宣传,21、在过去一年中，您参与以下浏阳烟花相关活动的频率为—现场观看浏阳烟花节、主题烟花秀或大型烟花无人机表演,21、通过短视频、直播平台观看浏阳烟花相关内容,21、关注与浏阳烟花相关的官方账号、媒体报道或纪录片,21、参观浏阳烟花博物馆、非遗工坊或生产展示基地,21、参与浏阳烟花主题的文旅活动、研学项目或文化节,21、购买或收藏浏阳烟花主题文创产品或纪念品,22、您可以接受一年内在浏阳烟花相关文化活动或产品上的支出为：,23、本题请选D,所用时间_数值
31,2026/2/24 19:24:05,205秒,微信,117.90.218.74(江苏-镇江),3,2,1,2,1,4,1,1,1,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2,2,3,1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,4,205
32,2026/2/24 19:24:22,172秒,微信,42.84.175.218(辽宁-大连),2,2,1,2,3,5,1,1,4,2,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,4,4,4,4,3,5,5,3,3,3,3,3,3,3,3,3,1,4,2,3,3,3,4,172
33,2026/2/24 19:24:46,204秒,微信,59.59.213.16(福建-三明),1,2,3,2,4,9,1,1,5,5,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,5,5,5,5,5,5,1,5,5,5,3,3,4,4,3,4,4,4,4,4,3,2,4,204
34,2026/2/24 19:25:07,232秒,微信,122.230.52.148(浙江-湖州),4,2,1,2,4,9,1,1,3,3,3.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,3,3,3,2,3,2,3,3,4,4,5,2,2,2,2,3,4,2,3,3,2,4,4,232
35,2026/2/24 19:25:43,204秒,微信,223.247.41.226(安徽-池州),2,1,2,2,5,9,1,2,4,5,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,4,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,204
36,2026/2/24 19:26:01,153秒,微信,123.180.171.52(河北-承德),2,2,3,3,4,2,1,2,3,3,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,4,3,4,4,3,3,5,3,4,4,4,3,2,4,2,5,1,4,5,5,5,1,4,153
37,2026/2/24 19:26:29,200秒,微信,49.66.196.143(江苏-无锡),3,2,2,2,1,6,1,1,3,3,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,2,3,1,2,2,2,3,2,1,2,1,2,2,2,3,3,3,3,1,3,2,3,4,200
38,2026/2/24 19:26:43,180秒,微信,115.226.245.77(浙江-丽水),2,1,2,2,3,9,1,2,4,4,4.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,4,3,3,3,3,4,3,3,3,3,4,5,4,4,5,5,5,4,5,5,4,4,180
39,2026/2/24 19:27:08,137秒,微信,220.201.21.82(辽宁-抚顺),1,1,3,2,2,2,2,1,3,3,2.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,2,2,3,1,3,3,3,2,2,2,2,3,3,3,5,3,3,4,3,3,2,1,4,137
40,2026/2/24 19:27:19,163秒,微信,119.41.198.165(海南-三亚),2,2,1,3,4,3,1,1,3,3,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,3,3,3,3,2,2,2,1,3,4,4,1,1,1,1,4,4,3,4,4,4,1,4,163
41,2026/2/24 19:27:51,205秒,微信,144.255.44.113(山东-烟台),2,2,3,2,4,9,2,1,5,5,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,4,4,4,4,5,5,5,5,4,3,4,4,5,4,4,4,4,4,4,4,4,2,4,205
43,2026/2/24 19:28:13,133秒,微信,114.237.234.161(江苏-连云港),3,1,2,2,4,4,1,1,3,3,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,2,2,3,1,3,4,2,2,4,2,2,2,2,3,4,3,3,3,3,5,4,133
44,2026/2/24 19:28:26,189秒,微信,27.29.165.90(湖北-襄阳),2,1,4,2,4,7,1,1,4,3,4.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,4,4,4,4,2,2,2,3,4,4,4,3,3,3,2,3,3,2,3,3,3,5,4,189
46,2026/2/24 19:29:06,183秒,微信,140.250.173.252(山东-济南),2,2,2,3,2,9,1,2,4,4,4.0,3.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,4,4,4,4,2,2,2,2,2,3,2,5,5,3,4,5,4,5,5,5,4,2,4,183
47,2026/2/24 19:29:17,144秒,微信,114.231.195.177(江苏-南通),2,1,3,1,4,1,2,1,4,4,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,4,4,4,4,3,2,2,2,5,5,5,1,1,1,2,5,4,5,4,5,5,1,4,144
48,2026/2/24 19:29:29,142秒,微信,220.160.12.166(福建-福州),3,2,2,2,4,8,1,2,1,3,2.0,1.0,1.0,3.0,5.0,3.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,5,5,4,4,3,3,3,2,4,5,4,4,3,5,4,4,4,5,3,5,4,4,4,142
49,2026/2/24 19:29:53,164秒,微信,175.148.103.212(辽宁-葫芦岛),3,1,2,2,3,7,1,1,4,2,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,5,5,3,5,5,5,5,4,4,4,3,4,4,4,3,5,5,5,4,3,5,4,4,164
50,2026/2/24 19:30:16,152秒,微信,117.28.40.86(福建-泉州),3,1,2,2,3,9,1,1,1,2,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,2,2,2,2,1,1,1,1,3,4,2,2,2,2,2,2,2,2,2,2,2,1,4,152
51,2026/2/24 19:30:31,136秒,微信,49.71.143.46(江苏-泰州),4,2,2,2,3,9,1,2,5,5,5.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,4,3,4,4,5,4,4,4,136
52,2026/2/24 19:30:58,224秒,微信,180.117.17.216(江苏-苏州),2,1,1,2,5,7,1,2,3,2,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,2,2,1,2,3,3,4,2,3,3,2,3,3,4,2,4,3,3,2,4,224
53,2026/2/24 19:31:26,215秒,微信,125.109.52.254(浙江-温州),2,1,2,4,4,1,1,2,4,4,5.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,4,4,4,4,3,4,1,2,4,4,4,3,3,3,3,4,5,4,4,3,4,4,4,215
54,2026/2/24 19:31:45,180秒,微信,118.116.39.13(四川-成都),4,1,4,2,4,9,1,1,4,4,5.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,5,5,5,5,4,4,4,4,5,5,5,5,3,5,4,4,4,3,2,4,4,3,4,180
55,2026/2/24 19:31:55,179秒,微信,121.236.129.22(江苏-苏州),2,1,2,2,3,7,1,1,3,3,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,3,3,3,3,4,2,4,4,3,3,3,4,4,4,3,4,3,4,4,4,4,5,4,179
57,2026/2/24 19:32:36,216秒,微信,180.109.12.232(江苏-南京),3,1,2,2,4,6,1,2,5,4,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,5,4,5,5,3,3,3,3,4,3,2,5,3,5,5,5,4,5,5,3,5,4,4,216
58,2026/2/24 19:32:57,177秒,微信,140.237.157.106(福建-南平),4,2,4,3,3,2,1,2,3,4,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,2,2,2,2,3,3,3,2,3,2,1,4,3,5,1,4,5,4,4,3,3,2,4,177
59,2026/2/24 19:33:19,231秒,微信,123.182.58.102(河北-张家口),3,2,1,2,2,9,1,2,4,4,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,4,3,4,4,5,5,5,4,4,4,4,5,5,5,4,3,3,2,3,3,4,4,4,231
60,2026/2/24 19:33:47,161秒,微信,49.85.115.218(江苏-泰州),4,2,1,2,4,9,1,1,2,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,5,4,5,4,4,3,2,3,3,3,3,2,4,161
61,2026/2/24 19:34:08,146秒,微信,111.72.198.142(江西-鹰潭),2,2,2,1,4,2,2,1,3,3,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,3,3,4,3,2,2,2,2,5,5,2,3,2,3,3,3,2,4,3,2,4,3,4,146
62,2026/2/24 19:34:40,152秒,微信,220.190.49.136(浙江-温州),4,1,1,1,3,1,2,1,5,5,4.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,4,5,3,4,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,2,4,152
63,2026/2/24 19:34:52,198秒,微信,114.219.163.189(江苏-苏州),2,2,1,2,3,4,1,1,3,4,4.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,2,2,3,5,5,4,5,4,4,4,5,5,3,1,5,5,5,5,4,5,3,4,198
64,2026/2/24 19:35:16,139秒,微信,49.69.32.99(江苏-盐城),3,2,4,2,3,9,1,1,5,5,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,2,5,1,3,2,3,3,4,2,4,5,5,5,5,5,5,5,5,4,5,2,4,139
65,2026/2/24 19:35:30,200秒,微信,111.72.196.35(江西-鹰潭),2,1,2,2,4,2,1,2,2,4,2.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,4,4,4,4,3,3,3,3,4,4,5,3,3,3,3,4,4,4,5,3,3,2,4,200
